,Transit excluding GO rail,Cycle,Auto driver,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
355,0,0,57,0,0,0,0,0,0,0,0,0
356,0,0,14,0,0,0,0,14,0,0,0,0
357,21,0,46,0,0,0,0,21,0,0,0,0
358,5,0,62,0,0,0,0,19,0,0,0,0
359,0,0,132,0,0,0,0,42,0,0,0,0
360,0,0,67,0,0,0,0,0,0,0,0,0
361,0,0,32,0,0,0,0,13,0,0,0,0
362,0,0,34,0,0,0,0,0,0,0,0,0
363,17,0,20,0,0,0,12,34,0,0,0,0
364,0,0,0,0,0,0,0,11,0,0,0,0
365,5,0,37,0,0,0,0,0,0,0,0,0
367,0,0,71,0,0,0,0,27,0,0,0,0
368,0,0,39,0,0,0,0,0,0,0,0,0
369,0,0,12,0,0,0,0,0,0,0,0,0
370,0,0,123,0,0,0,0,0,0,0,0,0
371,0,0,47,0,0,0,0,0,0,0,0,0
372,0,0,65,0,0,0,0,47,0,0,0,0
373,0,0,44,0,0,0,0,44,0,0,0,0
374,0,0,18,0,0,0,0,0,0,0,0,0
375,0,0,57,0,0,0,0,37,0,0,0,0
376,0,0,19,0,0,0,0,0,0,0,0,0
377,0,0,20,0,0,0,0,20,0,0,0,0
378,0,0,33,0,0,0,0,0,0,0,0,0
379,0,0,24,0,0,0,0,0,0,0,0,0
380,0,0,0,0,6,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,31,0,0,0,0
385,0,0,9,0,0,0,0,0,0,0,0,0
386,0,0,38,0,0,0,0,52,0,0,0,0
387,0,0,22,0,0,0,0,0,0,0,0,0
389,0,0,41,0,0,0,0,0,0,0,0,0
390,0,0,23,0,0,0,0,0,0,0,0,0
392,0,0,14,0,0,0,0,14,0,0,0,0
393,21,0,0,0,0,0,0,0,0,0,0,0
394,0,0,77,0,0,0,0,10,0,0,0,0
395,0,0,58,0,0,0,0,25,0,0,0,0
397,0,0,30,0,0,0,0,0,0,0,0,0
398,0,0,14,0,0,0,0,0,0,0,0,0
399,0,0,47,0,0,0,0,236,0,0,0,0
401,0,0,9,0,0,0,0,0,0,0,0,0
402,0,0,15,0,0,0,0,0,0,0,0,0
403,15,0,52,0,0,0,0,0,0,0,0,0
